"Ticker","CIK","ADSH","INCOMETAXESPAID","DDATE","SIC.x","PERIOD","FP","FY","Name","Exchange","SIC.y","Business","Incorporated","IRS","Market Cap","Enterprise Value","Trailing P/E","Forward P/E","PEG Ratio","Price/Sales","Price/Book","Enterprise Value/Revenue","Enterprise Value/EBITDA","Fiscal Year Ends","Most Recent Quarter","Profit Margin","Operating Margin","Return on Assets","Return on Equity","Revenue","Revenue Per Share","Qtrly Revenue Growth","Gross Profit","EBITDA","Net Income Avl to Common","Diluted EPS","Qtrly Earnings Growth","Total Cash","Total Cash Per Share","Total Debt","Total Debt/Equity","Current Ratio","Book Value Per Share","Operating Cash Flow","Levered Free Cash Flow","Beta","52-Week Change","S&P500 52-Week Change","52-Week High","52-Week Low","50-Day Moving Average","200-Day Moving Average","Avg Vol","Avg Vol 1","Shares Outstanding","Float","% Held by Insiders","% Held by Institutions","Shares Short","Short Ratio","Short % of Float","Shares Short 2","Forward Annual Dividend Rate","Forward Annual Dividend Yield","Trailing Annual Dividend Yield","Trailing Annual Dividend Yield 3","5 Year Average Dividend Yield","Payout Ratio","Dividend Date","Ex-Dividend Date","Last Split Factor","Last Split Date","mc","taxes","tmratio"
"ABT","1800","0001047469-15-001377","4.48e+08","20141231","2834","20141231","FY","2014","Abbott Laboratories","NYSE",2834,"IL","IL",360698440,"55.39B","57.60B","12.69","15.41","1.81","2.66","2.57","2.82","11.98","Dec 31","Dec 31, 2015","21.68%","16.56%","N/A","12.16%","20.40B","13.55","-1.90%","11.03B","4.81B","2.61B","2.93","-15.20%","6.14B","4.12","8.36B","39.38","N/A","14.15","N/A","N/A","1.51","-20.00%","-11.22%","51.74","36.00","40.16","43.79","7,089,460","7,038,240","1.49B","1.49B","0.21%","70.50%","16.91M","1.94","1.15%","16.45M","1.04","2.86%","0.98","2.70%","2.72%","55.86%","Feb 16, 2016","Jan 13, 2016","10000:4798","Jan 2, 2013",5.539e+10,4.48e+08,0.00808810254558585
"ACC","1283630","0001283630-15-000003","1066000","20141231","6798","20141231","FY","2014","American Campus Communities Inc","NYSE",6798,"TX","MD",760753089,"5.48B","7.69B","41.98","18.54","12.15","6.32","1.70","10.28","21.28","Dec 31","Sep 30, 2015","15.31%","20.85%","1.66%","4.27%","748.00M","6.78","-0.60%","373.86M","361.35M","113.38M","1.02","N/A","45.23M","0.40","2.93B","102.44","1.31","24.80","234.91M","244.55M","0.26","0.09%","-11.22%","44.13","32.12","41.35","38.57","1,192,190","2,532,180","127.95M","111.60M","0.54%","100.90%","3.77M","5.00","4.44%","3.45M","1.60","3.80%","1.60","3.80%","3.61%","152.54%","Feb 19, 2016","Feb 4, 2016","2:1","May 16, 2006",5.48e+09,1066000,0.000194525547445255
"ACC","1283630","0001283630-15-000003","668000","20131231","6798","20141231","FY","2014","American Campus Communities Inc","NYSE",6798,"TX","MD",760753089,"5.48B","7.69B","41.98","18.54","12.15","6.32","1.70","10.28","21.28","Dec 31","Sep 30, 2015","15.31%","20.85%","1.66%","4.27%","748.00M","6.78","-0.60%","373.86M","361.35M","113.38M","1.02","N/A","45.23M","0.40","2.93B","102.44","1.31","24.80","234.91M","244.55M","0.26","0.09%","-11.22%","44.13","32.12","41.35","38.57","1,192,190","2,532,180","127.95M","111.60M","0.54%","100.90%","3.77M","5.00","4.44%","3.45M","1.60","3.80%","1.60","3.80%","3.61%","152.54%","Feb 19, 2016","Feb 4, 2016","2:1","May 16, 2006",5.48e+09,668000,0.000121897810218978
"ACC","1283630","0001283630-15-000003","466000","20121231","6798","20141231","FY","2014","American Campus Communities Inc","NYSE",6798,"TX","MD",760753089,"5.48B","7.69B","41.98","18.54","12.15","6.32","1.70","10.28","21.28","Dec 31","Sep 30, 2015","15.31%","20.85%","1.66%","4.27%","748.00M","6.78","-0.60%","373.86M","361.35M","113.38M","1.02","N/A","45.23M","0.40","2.93B","102.44","1.31","24.80","234.91M","244.55M","0.26","0.09%","-11.22%","44.13","32.12","41.35","38.57","1,192,190","2,532,180","127.95M","111.60M","0.54%","100.90%","3.77M","5.00","4.44%","3.45M","1.60","3.80%","1.60","3.80%","3.61%","152.54%","Feb 19, 2016","Feb 4, 2016","2:1","May 16, 2006",5.48e+09,466000,8.5036496350365e-05
"ACGL","947484","0000947484-15-000010","20923000","20141231","6331","20141231","FY","2014","Arch Capital Group LTD","NASDAQ",6331,"D0","",NA,"8.39B","8.83B","16.72","15.80","4.03","2.05","1.37","2.24","15.42","Dec 31","Dec 31, 2015","13.66%","13.89%","1.51%","7.38%","3.94B","32.32","-10.90%","1.41B","572.47M","515.80M","4.09","-72.80%","1.14B","9.46","1.72B","24.00","2.05","48.72","997.91M","-2.29B","0.65","15.31%","-11.22%","78.81","58.42","67.59","71.35","462,010","518,825","122.63M","98.26M","13.48%","81.80%","2.29M","4.32","2.34%","2.58M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3:1","May 12, 2011",8.39e+09,20923000,0.0024938021454112
"ACGL","947484","0000947484-15-000010","15288000","20131231","6331","20141231","FY","2014","Arch Capital Group LTD","NASDAQ",6331,"D0","",NA,"8.39B","8.83B","16.72","15.80","4.03","2.05","1.37","2.24","15.42","Dec 31","Dec 31, 2015","13.66%","13.89%","1.51%","7.38%","3.94B","32.32","-10.90%","1.41B","572.47M","515.80M","4.09","-72.80%","1.14B","9.46","1.72B","24.00","2.05","48.72","997.91M","-2.29B","0.65","15.31%","-11.22%","78.81","58.42","67.59","71.35","462,010","518,825","122.63M","98.26M","13.48%","81.80%","2.29M","4.32","2.34%","2.58M","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3:1","May 12, 2011",8.39e+09,15288000,0.00182216924910608
"ACN","1467373","0001467373-15-000457","963039000","20130831","7389","20150831","FY","2015","Accenture PLC","NYSE",7389,"L2","L2",980627530,"59.46B","56.42B","19.95","16.56","1.84","1.88","9.90","1.81","10.86","Aug 31","Nov 30, 2015","9.76%","14.55%","15.91%","52.33%","31.17B","49.76","1.50%","9.81B","5.20B","3.04B","4.75","-1.50%","3.08B","4.90","27.66M","0.43","1.25","9.43","3.83B","3.62B","0.91","6.05%","-11.22%","109.86","86.40","100.75","102.24","3,116,500","4,703,660","627.91M","626.31M","0.21%","83.10%","10.12M","3.10","1.61%","9.30M","2.20","2.35%","2.12","2.30%","2.06%","47.13%","Nov 13, 2015","Oct 14, 2015","1:10","Dec 30, 2011",5.946e+10,963039000,0.0161964177598385
"ACN","1467373","0001467373-14-000467","962976000","20140831","7389","20140831","FY","2014","Accenture PLC","NYSE",7389,"L2","L2",980627530,"59.46B","56.42B","19.95","16.56","1.84","1.88","9.90","1.81","10.86","Aug 31","Nov 30, 2015","9.76%","14.55%","15.91%","52.33%","31.17B","49.76","1.50%","9.81B","5.20B","3.04B","4.75","-1.50%","3.08B","4.90","27.66M","0.43","1.25","9.43","3.83B","3.62B","0.91","6.05%","-11.22%","109.86","86.40","100.75","102.24","3,116,500","4,703,660","627.91M","626.31M","0.21%","83.10%","10.12M","3.10","1.61%","9.30M","2.20","2.35%","2.12","2.30%","2.06%","47.13%","Nov 13, 2015","Oct 14, 2015","1:10","Dec 30, 2011",5.946e+10,962976000,0.0161953582240161
"ACN","1467373","0001467373-14-000467","1033704000","20120831","7389","20140831","FY","2014","Accenture PLC","NYSE",7389,"L2","L2",980627530,"59.46B","56.42B","19.95","16.56","1.84","1.88","9.90","1.81","10.86","Aug 31","Nov 30, 2015","9.76%","14.55%","15.91%","52.33%","31.17B","49.76","1.50%","9.81B","5.20B","3.04B","4.75","-1.50%","3.08B","4.90","27.66M","0.43","1.25","9.43","3.83B","3.62B","0.91","6.05%","-11.22%","109.86","86.40","100.75","102.24","3,116,500","4,703,660","627.91M","626.31M","0.21%","83.10%","10.12M","3.10","1.61%","9.30M","2.20","2.35%","2.12","2.30%","2.06%","47.13%","Nov 13, 2015","Oct 14, 2015","1:10","Dec 30, 2011",5.946e+10,1033704000,0.0173848637739657
"ACN","1467373","0001467373-14-000467","963039000","20130831","7389","20140831","FY","2014","Accenture PLC","NYSE",7389,"L2","L2",980627530,"59.46B","56.42B","19.95","16.56","1.84","1.88","9.90","1.81","10.86","Aug 31","Nov 30, 2015","9.76%","14.55%","15.91%","52.33%","31.17B","49.76","1.50%","9.81B","5.20B","3.04B","4.75","-1.50%","3.08B","4.90","27.66M","0.43","1.25","9.43","3.83B","3.62B","0.91","6.05%","-11.22%","109.86","86.40","100.75","102.24","3,116,500","4,703,660","627.91M","626.31M","0.21%","83.10%","10.12M","3.10","1.61%","9.30M","2.20","2.35%","2.12","2.30%","2.06%","47.13%","Nov 13, 2015","Oct 14, 2015","1:10","Dec 30, 2011",5.946e+10,963039000,0.0161964177598385
